                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2782,                 1.5898,                 1.1828,                0.85628,                0.81039,                 0.8441,                0.51781,                  1.266,                0.92569,                 1.1574,              0.0033053,              0.0033053,              0.0033053
                      2,                 1.2914,                0.93045,                  1.168,                0.87815,                0.74037,                0.80855,                0.45409,                 1.3965,                0.99382,                 1.2755,              0.0066058,              0.0066058,              0.0066058
                      3,                  1.488,                  1.171,                  1.267,                0.37662,                0.63096,                0.48995,                0.22478,                 1.8479,                 11.952,                 2.1051,              0.0098733,              0.0098733,              0.0098733
                      4,                 1.6215,                  1.337,                 1.3672,                0.35673,                0.46151,                0.26735,                0.10659,                 2.1471,                 3.2961,                 1.9897,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.5749,                 1.2483,                 1.3548,                0.73123,                0.74436,                0.72889,                0.39552,                 1.5252,                 1.7185,                 1.4276,               0.009802,               0.009802,               0.009802
                      6,                 1.5272,                 1.1714,                 1.3227,                0.76709,                0.75241,                0.78978,                0.41879,                 1.5155,                 1.4324,                 1.3759,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.4665,                 1.1155,                 1.2834,                0.87083,                0.78203,                0.83611,                0.48765,                 1.4033,                 0.9643,                 1.3266,               0.009703,               0.009703,               0.009703
                      8,                 1.4175,                 1.0384,                 1.2651,                0.83411,                0.81364,                0.84928,                0.49852,                  1.354,                 1.0724,                 1.3039,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4143,                 1.0269,                 1.2604,                0.85564,                0.73076,                0.79668,                0.46152,                 1.4289,                 1.0604,                 1.3174,               0.009604,               0.009604,               0.009604
                     10,                 1.3821,                  1.011,                 1.2382,                0.89735,                0.82943,                0.86387,                0.52898,                 1.3031,                0.87824,                  1.248,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.3626,                0.99505,                 1.2294,                 0.9295,                0.83223,                0.87389,                0.54418,                 1.2648,                0.80813,                  1.236,               0.009505,               0.009505,               0.009505
                     12,                 1.3548,                0.96264,                 1.2239,                0.87452,                0.77108,                0.82147,                0.48225,                 1.3574,                 1.0167,                 1.2797,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.3413,                0.93477,                  1.215,                0.93216,                0.83546,                0.87655,                 0.5467,                 1.2597,                0.76508,                 1.2161,               0.009406,               0.009406,               0.009406
                     14,                 1.3247,                0.92494,                 1.2064,                0.92906,                0.82526,                0.87372,                0.54046,                 1.2585,                0.80204,                  1.211,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.3009,                0.89406,                 1.2014,                0.93059,                0.85171,                0.88833,                0.54965,                 1.2368,                0.76614,                 1.1974,               0.009307,               0.009307,               0.009307
                     16,                 1.2667,                0.85275,                 1.1751,                0.92359,                0.84794,                0.87904,                0.55616,                 1.2254,                0.74832,                  1.194,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.2795,                0.87045,                 1.1804,                0.94531,                0.85428,                0.89438,                0.55764,                 1.2045,                0.72249,                 1.1737,               0.009208,               0.009208,               0.009208
